,Unnamed: 0,Datetime,Tweet Id,Text,Username
0,0,2019-09-18 23:50:12+00:00,1174470708438560768,RUU KUHP yang Berusia 50 Tahun Bakal Disahkan DPR DPR RI dan pemerintah sudah me,galxxs
1,1,2019-09-18 23:49:21+00:00,1174470495804084224,Ente kenapa tertawa bro oposisi juga setuju sama tuh RUU KUHP jadi sama aja baik di kubu pemerintah maupun kubu oposisi Yang bisa tertawa sekarang hanya golput,mizardaahc
2,2,2019-09-18 23:40:17+00:00,1174468213142212609,Kok lucu Fakta2 yg loe sebutkan bukan berarti perbuatan itu mnjadi legal Setidaknya anggta dpr lbh baik mreka sdh mengakui perbuatn itu salah via uu kuhp dibanding loe yg masih justifikasi,Andriyan_syahh
3,3,2019-09-18 23:26:50+00:00,1174464829962080256,CRYING OVER KUHP adalah jalan ninjaku ket wingi asli aku nangis ngejer cok gatau kenapa takut,kekadalan
4,4,2019-09-18 23:19:54+00:00,1174463086628966401,KUHP kate ngelangkahi UUD Wkwkwk tuman,sur_wib
5,5,2019-09-18 23:01:14+00:00,1174458388534743041,puji sukur alhamdulillah negara ini butuh uang dgn cara apapun hal ini kalau tdk salah lngat 100 thn yg lalu saya perna berdoa agar RUU KUHP amp UU KPK dikebiri saja atau tdk perlu ada HUKUM namun sukurlah diusia saya yg 67 ini baru Allah SWT mengabulkan doa saya,Jebes_NTB
6,6,2019-09-18 22:36:26+00:00,1174452147015933953,Itu ngelengkapin KUHP yang ala negeri kincir angin aja dan itu delik aduan,AGBFatria
7,7,2019-09-18 22:31:32+00:00,1174450914817495040,AS RI Hehe masih enak pakai kuhp belanda ya hal,irwan24tanjung
8,8,2019-09-18 22:25:19+00:00,1174449349167738881,Tambah satu lagi ruu kuhp yg mau disahkan cacat isinya,laducinggg
9,9,2019-09-18 21:32:23+00:00,1174436027831701504,azhar Karna Uang Habis Perkara Itulah KUHP,Moro26424364
10,10,2019-09-18 21:27:24+00:00,1174434774116491266,ZQ RI Kalo udah begini ngga akan disahkan itu RUU PKS Karena tumpang tindih dng KUHP yg baru disahkan,uyaboira
11,11,2019-09-18 21:25:00+00:00,1174434167385403392,ZQ Segitu detailnya diurus KUHP Giling makin gak nyaman,triefince
12,12,2019-09-18 19:54:23+00:00,1174411364871229440,Itu dosennya ajah belum tentu bisa ngejelasin KUHP yang baru hahaha,za_ka
