,Datetime,Tweet Id,Text,Username
0,2019-09-21 23:39:42+00:00,1175555232337559552,"@ngonlain @Fahrihamzah @jokowi Tidak intervensi?? 
UU KPK, RUU KUHP??

Waras??",nanofinc
1,2019-09-21 23:18:29+00:00,1175549892845948928,@juni_irene SETUJU UU KUHP DISAHKAN ..INI PRODUK HUKUM ANAK BANGSA...UU KUHP SEKARANG PRODUK BELANDA...MASAK KITA BANGSA BESAR DAN BERADAB  GUNAKAN UU PRODUK MANTAN PENJAJAH...BERFIKIR REALISTIS...,massutomo04
2,2019-09-21 23:08:47+00:00,1175547450091692032,@upillapisbaja Kan pengangguran mau di gaji. Mungkin dasarnya itu kali wkwk tapi gatau ya. Ada yg lucu dan janggal emang dari RUU KUHP,gurumagang
3,2019-09-21 22:47:43+00:00,1175542150924132352,@lifeofrefly Ilmu bela diri penting bgt apalagi kl revisi RUU KUHP beneran disahkan:),gitasivals
4,2019-09-21 22:34:03+00:00,1175538709564772352,"@zunishofiyn @wndfh_ Serius deh. Ruu kuhp entar dulu aja lah. Toh isi nya jg ngaco. Ini dulu, tolong lah pak bu dpr. Azab Allah itu nyata loh bagi pemimpin yg mengabaikan rakyatnya.",unrealstranger
5,2019-09-21 22:30:48+00:00,1175537891432255489,"@dhimas_akbar problem : karhutla papua ruu kuhp ruu kpk demo mahasiswa dsb
solusi : vlog jan ethes",maulanarifki
6,2019-09-21 22:11:52+00:00,1175533126593855489,"@Bubbledeey @blurxzz @AlterBaseNSFW Iyaa dong, mari kita kumpul sebelum ruu kuhp :(",meandmrheart
7,2019-09-21 21:58:59+00:00,1175529885105889280,@qorygore Setelah RUU KUHP di sahkan https://t.co/fSKJUHC30F,KresekAbuabu
8,2019-09-21 21:42:47+00:00,1175525809857056768,"@jokowi Fyi ya, yg mengajukan RUU KUHP adalah pemerintah, biar hujatan tersalurkan dengan benar.",nataaalam
9,2019-09-21 20:23:09+00:00,1175505766691700736,@DewinaAmma kalo aku sih bahas ruu kuhp,naurashalsa
10,2019-09-21 20:11:11+00:00,1175502756716544000,@Cittairlanie Bukannya sbg Ketua MUI kirim surat pada Presiden RI mengenai RUU KUHP?,DK3ND
11,2019-09-21 19:52:27+00:00,1175498043438727169,@chapycorn gamau aku mau demo menolak ruu kuhp aja :(,agil_seni_rupa
12,2019-09-21 19:42:02+00:00,1175495422132936704,@Bull20202020 R KUHP pasal 3 ayat 1; Anak muda minum orang tua lalu kumpul kebo dengan lawan jenis pidana 10 tahun penjara atau denda sebesar 100jt rupiah.,Faiandre
13,2019-09-21 19:33:28+00:00,1175493262980743169,"@sambatanbatin setelah KUHP baru sah, lulusan sastra jawa jadi napi semua",ichwxn
14,2019-09-21 19:32:47+00:00,1175493094382292992,"@realationality @incitu @eleftheriandi @aldechan @cilorconnoistre @tubirfess Mas, regulasinya gak usah diperangin. Regulasinya gak diganti. KUHP didampingi UU kesehatan. Aborsi pemerkosaan itu LEGAL. 

Sekali lagi, pembuatan kebijakan gak cuma berdasarkan probabilitas statistik, tapi juga studi sosial. Hidup bukan The Sims yang jalannya pakai algoritma.",syncsthcsia
15,2019-09-21 19:31:19+00:00,1175492723593207808,"@jokowi Alhamdulillah dan terimakasih kepada para mahasiswa yg telah berhasil menunda (membatalkan) RUU KUHP, seandainya kalian tdk turun ke jalan, entah apa yg akan terjadi nanti kedepannya.",Anti_Oligarki
16,2019-09-21 19:20:47+00:00,1175490073803907072,@adwarkunci @detikcom Apa ada KUHP dan ajaran agamanya yg dilanggar..?? 😃😂,Peduli_Negriku
17,2019-09-21 19:12:53+00:00,1175488085028569089,"@Azuraaaputri @tanya2rl RUU KUHP : Memberi harapan palsu, denda 50 Juta.",_umangumang
18,2019-09-21 19:12:47+00:00,1175488059468435456,"@yuliaariani1 @wongGanteng_KBM Suruh si gubernur nyengit @ganjarpranowo cari dalam pasal KUHP definisi radikal ?!!!
Atas dasar UU apa dia mendefinisikan paham khilafah dan mengganti kepsek ?!!!
Sementara di partainya sendiri ada orang yg bangga sbg ANAK PKI !
Situ waras ?!!!
 https://t.co/WJXZbxdGdX",Djunath84_101
19,2019-09-21 19:07:19+00:00,1175486685133463552,@SuparnoNitineg3 Jangan!!  Nanti bisa kena pasal kuhp om  wkwkwk 😅😅,yogaphee16
20,2019-09-21 19:05:46+00:00,1175486294102695936,@kopijalang RUU KUHP di Sah kan,anggareddevil
21,2019-09-21 19:04:57+00:00,1175486087885508608,"@tanya2rl Emang RUU KUHP sekarang tu udah gak masuk akal lagi nder, uda gila orang orang",mortreddafeel
22,2019-09-21 18:54:35+00:00,1175483479544385537,"@jokowi Koq ada pemerintah segoblok ini ya... Yg mengajukan revisi pasal RUU KUHP pemerintah sendiri, yg mengajukan menunda pengesahan juga pemerintah sendiri.. Uda goblok kaga mau ngaku lg, lemparin kegoblokannya ke lembaga lain... Negeri Edan.. https://t.co/KY2LoRYyjo",MulyantoRody
23,2019-09-21 18:53:18+00:00,1175483154104115200,"Tapi kita butuh KUHP baru! Kasian juga kalo sampe mikir kita ga butuh KUHP baru sama sekali, mungkin kegorengnya kematengan....",AloysiusAS
24,2019-09-21 18:35:02+00:00,1175478559529287680,@blogdokter Ati2 kena RUU KUHP lohhh,rikyprasagung
25,2019-09-21 18:35:02+00:00,1175478559080472576,@detikcom yang ada KUHP karya anak BANGSAT!! Hidup Menirrr!!!,Beerweedgood
26,2019-09-21 18:29:28+00:00,1175477157914525696,@askmenfess Belom ada larangannya di kuhp. Segala nanya loe aneh,supermunnnn
27,2019-09-21 18:12:46+00:00,1175472955226112000,@pucoooooooo kalo ruu kuhp disahkan nnti gaada lgi dangdutan,naanasaja
28,2019-09-21 18:11:00+00:00,1175472512026566656,@unnkknnnoowwn19 Gpp sadboy biar gak kena KUHP,baithewai
29,2019-09-21 18:09:40+00:00,1175472176876507136,"@rmol_id RUU KUHP bukanya heboh, rame sendiri n disanggah sendiri, lha wong R UU KPK yg sdh didemo berhari2 n banyak penolakan aja gak direspon eeh yg nongol terakhir malah langsung direspon ""ditunda"" 😂😂😂",Panembahan_alit
30,2019-09-21 18:09:12+00:00,1175472057129160704,@andiarmaan Bah samaji RUU KUHP yg sebenarnya dri tahun laluji,acamdotid
31,2019-09-21 18:06:38+00:00,1175471413932654592,@kompascom Lalu kita bertanya...siapa yg membuat RUU KUHP itu? Kenapa pasal2 konyol itu bisa lolos masuk ke RUU tsb.? Apakah dari ribuan ahli hukum tdk ada yg mampu berpikir comprehensive?,DamanikTomok
32,2019-09-21 18:01:54+00:00,1175470221055778817,@budimandjatmiko @PDI_Perjuangan Ms bud..serius tanya !!! Emamg siapa sih yang ngusullin RUU KUHP ini? Pemrintah atau DPR?,yonoahmed14
33,2019-09-21 17:55:24+00:00,1175468584945930240,"@lenthogtanjung @nggerridwan_ @jokowi pak kuhp nya lagi di ghibahin tuh,
 penjara penjara",Bitas96
34,2019-09-21 17:53:45+00:00,1175468169860792320,@nggerridwan_ yg rumit tu kuhp. plese deh~,lenthogtanjung
35,2019-09-21 17:49:28+00:00,1175467093929558018,"@trendingtopiq Gada hubungan sama glorifikasi krn soal menunda itu irelevan sm statua inisiator. Saya paham kemana maksudnya, tp anda salah sangka. Soalnya revisi kuhp itu emg wajib adanya. Pihak penolak pun bukan ga setuju kuhp direvisi, tp ga setuju kl msh byk pasal absurd udah dsahkan.",el_kaezzar
36,2019-09-21 17:49:17+00:00,1175467046802358272,"@devymanalu2 @IwaSetiawan212 @UyokBack Heran aku cebong stok gobloknya kok banyak kali ya, mabok kecap kau ya, woiii longor yang ngusulin RUU KUHP itu pemerintah dan yang mintak penundaan juga pemerintah, kau tau lembaga pemerintahan tertinggi itu siapakan. Itu otak di pake mikir",dhiansubakti
37,2019-09-21 17:41:45+00:00,1175465150880444416,@devymanalu2 @UyokBack Woooiiiii itu RUU KUHP yg mengajukan siapaaaaaa????,IwaSetiawan_21
38,2019-09-21 17:35:52+00:00,1175463670907686912,"@trendingtopiq Yah makanya bersyukur saat ini presiden minta menunda, dan kita lihat sikap dpr saat ini, akan menunda atau tetap mengesahkan. Dan revisinya apakah akan lebih baik? Apakah di indonesia sudah kekurangan ahli hukum pidana? Sehingga tidak bisa membuat kuhp yg melindungi rakyat.",luthfiandra
39,2019-09-21 17:30:46+00:00,1175462387974983680,@567_48 @SoniaEryka FYI ketentuan mengenali aborsi yg berlaku skr diatur di UU Kesehatan. Dlm UU Kesehatan ada pengecualian jadi aborsi diizinkan dlm keadaan tertentu (perkosaan &amp; masalah kesehatan). Yg berlaku di KUHP skr hanya utk aborsi illegal (tdk termasuk dlm pengecualian).,flveea
40,2019-09-21 17:30:14+00:00,1175462250389200896,@eye_am_tama Tolak RUU KUHP,albertchrstfr
41,2019-09-21 17:29:48+00:00,1175462140678852609,"@detikcom Gpp lah cinta penjajah, daripada terima RUU KUHP yang gak masuk akal..",sayudhapg
42,2019-09-21 17:28:41+00:00,1175461863393390593,@andiarmaan Klo sy berpikir RUU KUHP cuman pengalihan isu terkait RUU KPK yg lalu. pemerintah akan membatalkan RUU KUHP sebagai bentuk alihalih menutupi kesalahan menetapkan RUU KPK untuk mengembalikan mosi percaya kpd pemerintah,acamdotid
43,2019-09-21 17:26:48+00:00,1175461387448934400,"@devymanalu2 @UyokBack Nah itu tau, tapi disini kan yg jadi permasalahan itu, RUU KUHP ini pemerintah sendiri yg mengajukan!!!",IwaSetiawan_21
44,2019-09-21 17:25:19+00:00,1175461014973763585,"@trendingtopiq Yah klo bicara prolegnas akan sesuai periode nya lah,  tp coba mas baca dr prolegnas2 sebelumnya ada nga ruu kuhp, apa cuma muncul di periode 2015?, karena ga selesai2 makanya di carry over. Di prolegnas tahun depan jg itu akan kebawa. Niy contoh 2010-2014 https://t.co/q75RDjn6tx",luthfiandra
45,2019-09-21 17:24:29+00:00,1175460806160347136,@andididi124 Inget pasal ruu kuhp mas😂,xxoloheloza
46,2019-09-21 17:24:15+00:00,1175460745175191552,"@reddaegu @matsuko912 @ScotchandSoba_ Ohh iya maap lupa, untung RUU KUHP gak bahas ttg anak yg lupa akan ortunya kan ga lucu udah berdosa + masuk penjara disuruh bayar denda pula",kusukamiegorenk
47,2019-09-21 17:18:57+00:00,1175459412057608197,@1EB2 Kuhp sejak jajahan pun format e begitu. Warisan belanda bisa dibilang,jurigserem
48,2019-09-21 17:18:08+00:00,1175459208256339968,"@NadineOliviea Kalo pasal yang lama 480 kuhp.ada lah tindak pindana penadahan mba.
Kalo salah tolong koreksi",DongengNegri
