,Unnamed: 0,Datetime,Tweet Id,Text,Username,Label,Language,Review
0,0,2019-09-19 23:53:31+00:00,1174833931239096320,mengingat umur kuhp kita sudah sangat uzur dan tidak relevan untuk digunakan di modern ini mengingat bentuk sistem hukum kita menganut civil law system sudah saatnya pengaturan delik pidanan secara kodifikasi bukan sektoral pada undang undang tertentu,ariagaana,1,indonesia,
1,1,2019-09-19 23:39:37+00:00,1174830433470537729,Pasal 378 KUHP diperluas cakupannya menjadi orang yang dengan sengaja memberi harapan palsu dikategorikan juga sebagai tindak penipuan dan dapat dipidana dengan minimal 5 tahun penjara atau denda maksimal kategori 1,andhyrf,0,indonesia,
2,2,2019-09-19 23:36:04+00:00,1174829539505004544,bangsa ini Dengan mengubah menjadi ideologi berbasis syariah Bagaimana caranya Kelompok ini mulai menyisipkan faham ideologi berbasis syariah melalui UUD dan KUHP Kalau UUD dan KHUP sudah berbasis syariah Maka otomatis ideologi bangsa ini akan berubah,85646525167,0,indonesia,
3,3,2019-09-19 23:35:36+00:00,1174829421666033665,Catnobi umum beda ITE sama KUHP cuma media penghinaannya sama cara menghinanya doang sisanya unsurnya sama lu baca R Soesilo deh rul kalo untuk UU ITE coba baca yg Josua Sitompul,mediocrickey,0,indonesia,
4,4,2019-09-19 23:32:16+00:00,1174828585191821312,kuhp belanda juga mengadopsi Penal Code Perancis karena Belanda pernah dijajah Perancis Ya masa kita negara merdeka masih pakai produk hukum kolonial Gue bingung aja diantara ratusan pakar hukum yang pintar kok bikin RUU seperti itu RKUHP,sarimusdar09,-1,indonesia,
5,5,2019-09-19 23:26:54+00:00,1174827232386113536,koplak yg rancang kuhp,Fandearb1,-1,indonesia,
6,6,2019-09-19 23:26:40+00:00,1174827176216023040,Gue ingat banget dulu pas kuliah Hukum Pidana dosen gue sempat ngulas keanehan beberapa pasal yang paling dibahas dulu sih pasal tentang tindak pidana santet Jadi gini KUHP kita itu ngambil KUHP Belanda RKHUP,sarimusdar09,-1,indonesia,
7,7,2019-09-19 23:24:35+00:00,1174826651403739137,Apakah yg terjadi dgn UUKPK Capim KPK RUU KUHP segitu lemahnya Jokowi tdk bisa melawan parpol parpol pendukung nya Suara rakyat Indonesia yg pilih Jokowi bukan parpol JaeGagalUrusBangsa JokowiMundurlah,hppurba,-1,indonesia,
8,8,2019-09-19 23:20:11+00:00,1174825545512538112,Apa gelandangan nya ngerti KUHP ini,TremontiAnton,-1,indonesia,
9,9,2019-09-19 23:19:37+00:00,1174825399504629760,Buruan keburu ruu kuhp disahkeun,sunnflowwa,-1,indonesia,
10,10,2019-09-19 23:16:47+00:00,1174824688553361409,Klo masalah KPK dan Ruu KUhp kayakhya sebentar lagi Jae jadi pahlawan,klarick26,0,indonesia,
