full_text,text_clean
padahal nih yah ga usah pada banyak cingcong itu orang2 surabaya bandung medan kalo mereka ada niat mereka bisa bikin transportasi umum sendiri kayak di jkt misalnya sebelum jaklingko itu banyak org jkt inisiatif bikin perusahaan angkutan swasta mobil carry tu misal,perlu cingcong orang surabaya bandung medan niat buat transportasi umum jakarta misal jakarta lingko orang jakarta inisiatif buat usaha angkut swasta mobil carry misal
Bisa naik jaklingko dari cipayung ke tamini 0 rupiah aja wkwkwk tp agak lumayan si jalannya dari asrama ke gapura cpygnya,naik jakarta lingko cipayung tamini rupiah wkwkwk lumayan jalan asrama gapura cpygnya
gw banget lagi terus naik jaklingko gratis ke pelni,banget terus naik jakarta lingko gratis pelni
Ya mesti dibuat Stasiun baru karna Stasiun terdekat di Ancol Halte Busway JIS mesti di aktifkan dan terintegrasi dengan JakLingko JIS memang perlu diperbaiki di beberapa aspek,mesti buat stasiun baru stasiun dekat ancol halte busway mesti aktif integrasi jakarta lingko perlu baik aspek
Nilai tauladan yg bisa diambil dari nunggu jaklingko jam segini adalah yakin dan sabar kalau pasti ada jaklingko yg masih lewat,nilai tauladan ambil nunggu jakarta lingko gin yakin sabar jakarta lingko lewat
keluar rs nunggu jaklingko bentar lgsg ada nunggu di halte buat naik tj bentar lgsg ada jg transit nunggu bentar lg lgsg ada jg dannnn itu semua lowong alias ga ada tu war duduk makasiiiii yg long weekend aku happy ko hehe soalnya sepi dan aman,keluar nunggu jakarta lingko sebentar langsung nunggu halte naik trans jakarta sebentar langsung transit nunggu sebentar langsung dannnn lowong alias duduk makasiiiii long weekend bahagia soal sepi aman
Transjakarta min kartu jaklingko ini bisa buat masuk ragunan ga ya,transjakarta kartu jakarta lingko masuk ragunan
Sopir2 jaklingko skrng jutek2 bgt bjirrr,sopir jakarta lingko sekarang galak banget bjirrr
Jangan lupakan angkot JakLingko yg gratis itu Asli deh di Jakarta tuh enak transportasinya tinggal pinter2 milih rute dan sesuaikan waktu perjalanan aja,lupa angkot jakarta lingko gratis asli jakarta enak transportasi tinggal pinter milih rute sesuai waktu jalan
tadi aku naik angkot jaklingko for the firsttt time wkwkwkwk agak nunggu setengah jam sih tp ok bgt udah free trus bus stop nya jd pas dikosan aku,naik angkot jakarta lingko firsttt time wkwkwkwk nunggu tengah banget bebas terus henti jadi dikosan
Wira Wiri kan sama kek Jaklingko pake Grandmax AC gitu Hanya saja problemnya andaikata dimaksimalin jaringannya ya kurleb sama kek angkot dimana sampe ke jalanan yang lebih kecil gitu akuisisi angkot yang cenderung busuk bagus banget Kekuatan fiskal mah lebih dari cukup sih,wira wiri kayak jakarta lingko pakai grandmax gitu problem andaikata dimaksimalin jaring kurleb kayak angkot sampai jalan gitu akuisisi angkot cenderung busuk bagus banget kuat fiskal cukup
Jaklingko 10A cikini gondangdia,jakarta lingko jadi orang cikini gondangdia
Dari asrama ke tamini naik JakLingko malah lebih murah lagi cuma 10rb abisnya,asrama tamini naik jakarta lingko murah ribu abis
ADA JAKLINGKO,jakarta lingko
Hai Kak Mohon maaf atas kendala yang dialami mengenai saldo yang terpotong 2x silahkan laporkan ke nomor Customer Care Jaklingko yang dapat dihubungi Whatsap 0812 6000 1440 Phone 02129223034 Email custonercare co id Terima kasih SJ,mohon maaf atas kendala alami kena saldo potong silah lapor nomor customer care jakarta lingko hubung whatsap phone email custonercare terima kasih
Itu apa ya di belakang hp antara polaroid kalo ga kartu jaklingko,belakang handphone polaroid tidak kartu jakarta lingko
its gonna be my new whole personality yoongi pernah lewat sini yoongi pernah liat jaklingko yoongi pernah liat bangunan yang sama,gonna whole personality yoongi lewat yoongi lihat jakarta lingko yoongi lihat bangun
akk ada jaklingko,jakarta lingko
Transjakarta sesama TJ masih 5000 3jam kalo pake kartu khusus JakLingko,transjakarta trans jakarta pakai kartu khusus jakarta lingko
Suara Bang Suga tapi depannya kok ada Jaklingko ya Bayangin Bang Suga naik Jaklingko gak ada yg tahu ehehehheehhee,suara suga depan jakarta lingko bayang suga naik jakarta lingko tahu ehehehheehhee
Naksir yg seulgi tapi klo gabisa jaklingko sayang bgt dong,naksir seulgi kalau bisa jakarta lingko sayang banget
Transjakarta Oh keknya ini mah ikut skema jaklingko ya kalo naik mrt berlaku tarif maks ceban,transjakarta kayak ikut skema jakarta lingko naik mass rapid transit laku tarif maks ceban
