,Datetime,Tweet Id,Text,Username
0,2023-03-28 23:40:04+00:00,1640861342260400128,"@jokowi Saya pribadi menolak, pemerintah saya tidak tahu dan tidak akan ikut campur,hasil dari lobi FIFA saya menantikannya...",IhzamYusril
1,2023-03-28 23:04:36+00:00,1640852416097820672,"@davidgo63612444 @tvOneNews Btw...bukan Indonesia yg menolak, hanya segelitir orang yg tak berakal sehat aja yg nolak... Ada yg mengatasnamakan pemerintah, lah presiden @jokowi selaku pimpinan pemerintahan aja menerima Timnas Israel sebagai tim olahraga. Indonesia butuh kompetisi dan FIFA, tak bs dipungkiri",SazaKubilla
2,2023-03-28 22:49:17+00:00,1640848564485242881,"Selanjutnya Jokowi mengatakan meski FIFA telah mengetahui adanya penolakan-penolakan terhadap keikutsertaan timnas Israel di Piala dunia U-20, tapi pemerintah dan PSSI masih tetap mengusahakan solusi terbaik.

https://t.co/I1WFKH9EGc

#PialaDuniaU20 #PSSI #FIFA #Indonesia",SuaraPembaruan
3,2023-03-28 22:41:02+00:00,1640846486245367808,@yesterday_8 @wim_musawa @idextratime Palestina ngomong begitu karena ga berhak intervensi pemerintah Indonesia. FIFA nya sendiri aja berpolitik kok,aldyfatih1
4,2023-03-28 22:18:54+00:00,1640840918176792576,"@FaktaSepakbola jadi kesimpulannya Israel boleh ikut tanding disini apa engga? di atas bilang sependapat sama dubes Palestina, tp di bwh bilang pemerintah, pssi &amp; fifa msh mencari solusi 🫣",user202125
5,2023-03-28 21:52:21+00:00,1640834235991990273,@CNNIndonesia Olahraga jgn dicampur politik itu benar. Tp faktanya kasus ini tdk sesederhana itu. Banyak yg gk pah klo situasinya sangat dilematis. Harus diakui pssi dan pemerintah dulu kurang jeli dlm membuat MOU dgn FIFA saat ikut bidding.,faisalamar_11
6,2023-03-28 21:48:43+00:00,1640833319188463617,"@pn7l7h Banyak hoax soal pildun ini , sebelum ada pengumuman resmi dr fifa atau pemerintah pildun blm batal (coach justin) 👇
https://t.co/ShWes1vfqD",cuanbaksit
7,2023-03-28 21:22:55+00:00,1640826827894853632,"Banyak juga tokoh tokoh yg menolak dan menerima, tpi disisi lain kita juga mesti profesional secara kita anggota fifa yg mana kita juga mesti ikut aturan fifa, mesti nya kita lebih bagus untuk intervensi ke pemerintah Israel entah itu melalui dubes nya atau perdana menteri nya https://t.co/NgIg8zS7jF",masmasayamkfc
8,2023-03-28 21:21:26+00:00,1640826454152982529,"Keenam, pemerintah tengah mengutus Ketua Umum PSSI, Erick Thohir, untuk pergi ke markas besar FIFA di Zurich, Swiss, guna mencari solusi atas masalah ini.",news_delik
9,2023-03-28 21:20:29+00:00,1640826216071725056,@RyaWiedy gerombolan yg gk suka pemerintah tdk berfikir panjang ngebina olah raga bertahun2 kok mau di gagal kan hrs mikir apa gunanya sepak bola kalau tdk di akui fifa pikiran kerdil tdk bisa bedakan mana politik mana olah raga trimakasih pakde,AjrilArham
