no,full_text,class
0,padahal nih yah ga usah pada banyak cingcong itu orang2 surabaya bandung medan kalo mereka ada niat mereka bisa bikin transportasi umum sendiri kayak di jkt misalnya sebelum jaklingko itu banyak org jkt inisiatif bikin perusahaan angkutan swasta mobil carry tu misal,0
1,Bisa naik jaklingko dari cipayung ke tamini 0 rupiah aja wkwkwk tp agak lumayan si jalannya dari asrama ke gapura cpygnya,1
2,gw banget lagi terus naik jaklingko gratis ke pelni,1
3,Ya mesti dibuat Stasiun baru karna Stasiun terdekat di Ancol Halte Busway JIS mesti di aktifkan dan terintegrasi dengan JakLingko JIS memang perlu diperbaiki di beberapa aspek,2
4,Nilai tauladan yg bisa diambil dari nunggu jaklingko jam segini adalah yakin dan sabar kalau pasti ada jaklingko yg masih lewat,0
5,keluar rs nunggu jaklingko bentar lgsg ada nunggu di halte buat naik tj bentar lgsg ada jg transit nunggu bentar lg lgsg ada jg dannnn itu semua lowong alias ga ada tu war duduk makasiiiii yg long weekend aku happy ko hehe soalnya sepi dan aman,1
6,Transjakarta min kartu jaklingko ini bisa buat masuk ragunan ga ya,0
7,Sopir2 jaklingko skrng jutek2 bgt bjirrr,2
8,Jangan lupakan angkot JakLingko yg gratis itu Asli deh di Jakarta tuh enak transportasinya tinggal pinter2 milih rute dan sesuaikan waktu perjalanan aja,1
9,tadi aku naik angkot jaklingko for the firsttt time wkwkwkwk agak nunggu setengah jam sih tp ok bgt udah free trus bus stop nya jd pas dikosan aku,1
10,Wira Wiri kan sama kek Jaklingko pake Grandmax AC gitu Hanya saja problemnya andaikata dimaksimalin jaringannya ya kurleb sama kek angkot dimana sampe ke jalanan yang lebih kecil gitu akuisisi angkot yang cenderung busuk bagus banget Kekuatan fiskal mah lebih dari cukup sih,1
11,Jaklingko 10A cikini gondangdia,0
12,Dari asrama ke tamini naik JakLingko malah lebih murah lagi cuma 10rb abisnya,1
13,ADA JAKLINGKO,0
14,Hai Kak Mohon maaf atas kendala yang dialami mengenai saldo yang terpotong 2x silahkan laporkan ke nomor Customer Care Jaklingko yang dapat dihubungi Whatsap 0812 6000 1440 Phone 02129223034 Email custonercare co id Terima kasih SJ,0
15,Itu apa ya di belakang hp antara polaroid kalo ga kartu jaklingko,0
16,its gonna be my new whole personality yoongi pernah lewat sini yoongi pernah liat jaklingko yoongi pernah liat bangunan yang sama,0
17,akk ada jaklingko,0
18,Transjakarta sesama TJ masih 5000 3jam kalo pake kartu khusus JakLingko,0
19,Suara Bang Suga tapi depannya kok ada Jaklingko ya Bayangin Bang Suga naik Jaklingko gak ada yg tahu ehehehheehhee,0
20,Naksir yg seulgi tapi klo gabisa jaklingko sayang bgt dong,0
21,Transjakarta Oh keknya ini mah ikut skema jaklingko ya kalo naik mrt berlaku tarif maks ceban,0
22,Bisa bisanya orang mabok naik Jaklingko,0
23,yoongi pernah liat jaklingko,0
24,salfok ada jaklingko masuk vlog,0
25,Ngakak jaklingko debut di vlog yoongi,0
26,Transjakarta Oalah berarti ni bus full melayani nbrt yah ga beririsan dgn halte brt 11 12 ama metro trans kah kl begitu Ngikut skema integrasi versi ok otrip bukan jaklingko,0
27,piyo Hai Kak Pembayaran pada halte halte Transjakarta selain dengan menggunakan kartu flazz emoney brizzi tapcash jakcard kartu berlogo Jak Lingko bisa juga menggunakan Tiket QR aplikasi Tije dan aplikasi JakLingko Terima kasih RJ,0
28,jeruk set karubi harami 50 ons diskon 50 dengan jaklingko,0
29,Kalo tidak mau kerja jadi supir jaklingko tolong ganti orang seperti itu min itu tidak melayani pelanggan dengan senang hati transjakarta,2
30,parah banget sopir2 jaklingko kemarin tg 28 juni jam 12 12p depan rs hermina sunter arah halte danau agung sopir ngebut terus gak mau berhenti ambil penumpang waduuuh jak lingko dg sopir2 gini terus ancur,2
31,wuming lu tinggal di mana gw lahir amp besar di jakarta sampai bisa beli cluster di jaksel happy saja tuh malah transportasi Jaklingko gratis sampai depan kompek PBB rumah nyokap pensiunan guru skr di era Anies gratis,1
32,keren bgt kalo tap di jaklingko seangkot liat kartu gw mba irene,1
33,mohamat Ribuan mobil parkir terdekat cuma di JIEXPO Kemayoran LRT ga ada MRT ga ada stasiun kereta terdekat ancol 2 5km jalan kaki ke jis 30 menit Adanya cuma TJ amp Jaklingko 10K Jak77 Jak118 U10 Jis3 amp Jak120,0
