ID,,Datetime,Tweet Id,Text,Username,Length,Label,Lang
1,4422,2022-12-06 05:00:13+00:00,1599992083716022272,KUHP,beribadaaah,4,,
2,3374,2022-12-07 03:55:49+00:00,1600338262371205121,@Askrlfess kuhp,ahsnstwan,15,,
3,2020,2022-12-08 09:31:53+00:00,1600785225143156737,@adlynalin Kuhp?,ermayuliati,16,,
4,180,2022-12-12 08:02:55+00:00,1602212385955008513,@RoccoAlzheim KUHP,CurutBengak,18,,
5,828,2022-12-10 13:50:37+00:00,1601575114273062913,@kaesangp UU KUHP?,furqankibo,18,,
6,1232,2022-12-09 11:54:31+00:00,1601183508504137728,@unsrifess kuhp 🙊,wihagigi,18,,
7,1588,2022-12-09 02:50:04+00:00,1601046493863243778,@budex_wibowo KUHP,Alfn93,18,,
8,2009,2022-12-08 09:44:58+00:00,1600788517936041985,@kaesangp Ehm kuhp,vioaryak123,18,,
9,2506,2022-12-07 22:12:02+00:00,1600614135406153730,KUHP salah satunya,LUGICinibous,18,,
10,2889,2022-12-07 10:03:34+00:00,1600430812595650563,@HukumDan RUU KUHP,bung_Ve,18,,
11,725,2022-12-10 22:27:18+00:00,1601705142289543168,@OhdjoniD Kuhp yess,SectorNine6,19,,
12,1248,2022-12-09 11:27:44+00:00,1601176768584376320,@unsrifess Ehmm KUHP,cumamamat,20,,
13,1750,2022-12-08 22:16:14+00:00,1600977579091329025,@heleborusniger Kuhp,catanisme,20,,
14,2481,2022-12-07 23:10:19+00:00,1600628801331163138,@berlima_v Awas KUHP,RagilSemar,20,,
15,236,2022-12-12 05:59:50+00:00,1602181414396768256,@OhdjoniD Dukung KUHP,AdityaKusyandi,21,,
16,237,2022-12-12 05:59:34+00:00,1602181346616815616,@OhdjoniD Dukung KUHP,AdityaKusyandi,21,,
17,238,2022-12-12 05:59:23+00:00,1602181301175742465,@OhdjoniD Dukung KUHP,AdityaKusyandi,21,,
18,256,2022-12-12 04:39:58+00:00,1602161311525191680,@riego_see KUHP👍🇮🇩,Akomeng6,21,,
19,557,2022-12-11 06:48:03+00:00,1601831157070721024,@OhdjoniD Dukung KUHP,AdityaKusyandi,21,,
20,558,2022-12-11 06:47:50+00:00,1601831105422057472,@OhdjoniD Dukung KUHP,AdityaKusyandi,21,,
21,559,2022-12-11 06:47:38+00:00,1601831055941832705,@OhdjoniD Dukung KUHP,AdityaKusyandi,21,,
22,562,2022-12-11 06:47:12+00:00,1601830944079777792,@OhdjoniD Dukung KUHP,AdityaKusyandi,21,,
23,645,2022-12-11 02:48:23+00:00,1601770846262992896,@FWBESS KUHP menunggu,backtojakarta,21,,
24,723,2022-12-10 22:27:42+00:00,1601705243485405184,@OhdjoniD Dukung KUHP,SectorNine6,21,,
25,729,2022-12-10 21:55:21+00:00,1601697100496252928,@OhdjoniD Dukung KUHP,AdityaKusyandi,21,,
26,730,2022-12-10 21:54:54+00:00,1601696986096627712,@OhdjoniD Dukung KUHP,AdityaKusyandi,21,,
27,731,2022-12-10 21:54:34+00:00,1601696903057797120,@OhdjoniD Dukung KUHP,AdityaKusyandi,21,,
28,732,2022-12-10 21:54:21+00:00,1601696850809352192,@OhdjoniD Dukung KUHP,AdityaKusyandi,21,,
29,1175,2022-12-09 13:29:09+00:00,1601207324622098438,@OhdjoniD Dukung KUHP,AdityaKusyandi,21,,
30,1176,2022-12-09 13:28:58+00:00,1601207277280980993,@OhdjoniD Dukung KUHP,AdityaKusyandi,21,,
31,1178,2022-12-09 13:28:46+00:00,1601207224986390529,@OhdjoniD Dukung KUHP,AdityaKusyandi,21,,
32,1179,2022-12-09 13:28:31+00:00,1601207164139606016,@OhdjoniD Dukung KUHP,AdityaKusyandi,21,,
33,1394,2022-12-09 07:35:27+00:00,1601118310111711234,@tanyarlfes Halo KUHP,alrianraka_,21,,
34,62,2022-12-12 15:18:11+00:00,1602321924654522368,@tanusukarta KUHP 😊😊,firzahusainInc,22,,
35,234,2022-12-12 06:07:47+00:00,1602183414647443456,@OhdjoniD Terbaik kuhp,SectorNine6,22,,
36,561,2022-12-11 06:47:13+00:00,1601830948814741504,@OhdjoniD Kuhp terbaik,SectorNine6,22,,
37,722,2022-12-10 22:28:02+00:00,1601705325266341888,@OhdjoniD Kuhp oke bgt,SectorNine6,22,,
38,1213,2022-12-09 12:32:55+00:00,1601193172398272512,@cocc41ne KUHP = RUWET,rezahanafi25,22,,
39,1320,2022-12-09 09:58:06+00:00,1601154211777249280,@prhkrts ruu kuhp awas,Napipiss,22,,
40,2541,2022-12-07 17:28:31+00:00,1600542787124203520,@cassylawwww KUHP Baru,arunreksa_,22,,
41,65,2022-12-12 14:29:10+00:00,1602309590162763777,@18fessss Ati2 ono KUHP,ennmox,23,,
42,166,2022-12-12 08:39:25+00:00,1602221574727569408,@SofiaAnanta2 kuhp baru,damn_camaro,23,,
43,564,2022-12-11 06:46:44+00:00,1601830829314912257,@OhdjoniD Kuhp love bgt,SectorNine6,23,,
44,676,2022-12-11 00:24:31+00:00,1601734641290919936,@Bank_Aconk KUHP 🇮🇩👍,Akomeng6,23,,
45,1821,2022-12-08 15:17:08+00:00,1600872110188298240,@bayikoala_ Satire KUHP,Zendagondrong,23,,
46,3178,2022-12-07 06:37:52+00:00,1600379043895214081,KUHP di sikapi dgn baik,RemiRicardo3,23,,
47,4153,2022-12-06 08:58:43+00:00,1600052101932978176,@sipamaw yang KUHP kali,bulakapakkk,23,,
48,1385,2022-12-09 07:51:05+00:00,1601122244402761729,@detikcom Mampus lo kuhp,daddyshaarrkk,24,,
49,46,2022-12-12 16:26:14+00:00,1602339050232217608,@jejelove21 Oleh kuhp kah,Turuunayy,25,,
50,168,2022-12-12 08:37:10+00:00,1602221006055419904,@SofiaAnanta2 Dukung kuhp,TinaOctavia14,25,,
51,169,2022-12-12 08:36:52+00:00,1602220931648466944,@SofiaAnanta2 Dukung kuhp,TinaOctavia14,25,,
52,244,2022-12-12 05:34:54+00:00,1602175139164086272,@OhdjoniD AYO DUKUNG KUHP,_mustafakemal17,25,,
53,245,2022-12-12 05:34:49+00:00,1602175118918455296,@OhdjoniD AYO DUKUNG KUHP,_mustafakemal17,25,,
54,246,2022-12-12 05:34:45+00:00,1602175099888496642,@OhdjoniD AYO DUKUNG KUHP,_mustafakemal17,25,,
55,247,2022-12-12 05:34:40+00:00,1602175078531182597,@OhdjoniD AYO DUKUNG KUHP,_mustafakemal17,25,,
56,724,2022-12-10 22:27:31+00:00,1601705196685434881,@OhdjoniD Kuhp luar biasa,SectorNine6,25,,
57,1042,2022-12-10 01:45:15+00:00,1601392568717434880,@baserealnews Dukung KUHP,TinaOctavia14,25,,
58,1043,2022-12-10 01:45:09+00:00,1601392543748349952,@baserealnews Dukung KUHP,TinaOctavia14,25,,
59,1351,2022-12-09 08:58:20+00:00,1601139170264879104,@Unsoedfess1963 demo kuhp,talithulll,25,,
60,1774,2022-12-08 17:08:55+00:00,1600900239602647040,Bangsat lupa ada RUU KUHP,ilhameeel,25,,
61,1876,2022-12-08 13:52:29+00:00,1600850807980638208,@gorgoddes Ghibah UU kuhp,kvbearies,25,,
62,1942,2022-12-08 12:18:32+00:00,1600827162470162432,@Askrlfess Dukung KUHP!!!,IKorleko,25,,
63,3916,2022-12-06 11:43:39+00:00,1600093610669936641,@banjarbase membahas Kuhp,msruni_,25,,
64,233,2022-12-12 06:08:01+00:00,1602183470603649025,@OhdjoniD Mari dukung KUHP,SectorNine6,26,,
65,538,2022-12-11 08:10:09+00:00,1601851819898310656,@DwiKilaw dukung KUHP baru,nonie_mis,26,,
66,560,2022-12-11 06:47:33+00:00,1601831033854259200,@OhdjoniD Terbaik bgt kuhp,SectorNine6,26,,
67,1377,2022-12-09 08:01:12+00:00,1601124792291074048,@Risma12121212 Dukung KUHP,nonie_mis,26,,
68,1771,2022-12-08 17:39:58+00:00,1600908055105146880,@anandabadudu Kejutan KUHP,hayypren,26,,
69,1961,2022-12-08 11:31:51+00:00,1600815417362038784,"kuhp deng, ga pake r lagi.",abraham_TS,26,,
70,2039,2022-12-08 08:47:58+00:00,1600774173411856384,@moonareas kuhp yg disahin,beslaag,26,,
71,2439,2022-12-08 00:12:41+00:00,1600644496693563392,@titfather Hati2 kena kuhp,mot_chie,26,,
72,827,2022-12-10 13:53:00+00:00,1601575713332555776,@dayatpiliang hapuskan kuhp,andikabp__,27,,
73,960,2022-12-10 06:21:59+00:00,1601462210248986624,@bannedvtmemes KUHP BANGSAT,AWFlister,27,,
74,1162,2022-12-09 13:50:13+00:00,1601212626268459008,@urfavocaa Ruu kuhp yg baru,vvibbuu,27,,
75,1455,2022-12-09 05:46:59+00:00,1601091013237702656,@_MbakSri_ Gagal paham KUHP,yoseph45613884,27,,
76,1457,2022-12-09 05:46:32+00:00,1601090902487101440,@_MbakSri_ Gagal paham KUHP,yoseph45613884,27,,
77,2082,2022-12-08 07:47:36+00:00,1600758983048200192,@ataupah_frenky KUHP mantap,fenyanastasia96,27,,
78,2660,2022-12-07 14:08:22+00:00,1600492418113363969,@DivHumas_Polri Kuhp konyol,oskadonpncnoye,27,,
