,Datetime,Tweet Id,Text,Username
0,2023-03-27 23:55:09+00:00,1640502752035102720,@pemberireceh @FaktaSepakbola @mohmahfudmd Bukan sok keras om.. Tapi jika ga ada Satu patokan jelas dari fifa... Amit2 someday Indonesia bisa jadi ketidakadilan atas ketidakjelasan.,OranjeXIV
1,2023-03-27 23:53:54+00:00,1640502437755904002,"@Metro_TV Rusia juga di block ke piala dunia oleh FIFA karena alasan kemanusiaan..,Indonesia juga boleh dong block Israel,atas kemanusiaan juga....",ArielAr67397037
2,2023-03-27 23:52:44+00:00,1640502143324151808,"@CNNIndonesia Alhamdulillah mudah mudahan di banned FIFA,,,, gua di kampung susah mau nonton BOLA,, harus bayar paketan,, atau engga beli antena BARU,, sinyal GK ADA,, nonton di hp jaringan GK cukup ...... SEKARANG ADIL SEMUA RAKYAT INDONESIA GK BISA NONTON TEAM NAS......😂😂😂😂😂😂😂",kancil_89
3,2023-03-27 23:51:10+00:00,1640501747524440064,"@WagimanDeep212_ Ya keluar saja dari FIFA atau buat organisasi sendiri , kalau misalkan olimpiade mereka TDK mau Indonesia ikut terus mau apa ... nuntut atau ajang olah raga lainnya...artinya di kucilkan",handokoerwin
4,2023-03-27 23:50:55+00:00,1640501686384091137,"@mohmahfudmd Indonesia bukan siapa2 di FIFA, keaktifan Indonesia di FIFA tak punya nilai lebih ""Soal Sepakbola"". Tentu FIFA akan lebih pilih ISRAEL krn sudah terbukti sering ikut ajang internasional bergengsi seperti Piala Dunia. Lha Indonesia??? Kerugian yg akan diterima...",Chenxdayat
5,2023-03-27 23:49:19+00:00,1640501280937500675,"@ichsan_itcomm @iyaiyaoo @FaktaSepakbola Palestina gak akan peduli jika sepakbola Indonesia bakal kena sanksi FIFA nantinya. mereka tetap bakal maen di pertandingan2 yg berada di bwh naungan FIFA. lagian yg ngebela disini, bukan ngebela Israelnya, tapi menyayangkan negara kita yg gagal jadi host event internasional.",erry_aone
6,2023-03-27 23:46:46+00:00,1640500639062171648,"@FaktaSepakbola FIFA ngga salah, mrk mau peserta aman.sekarang ada penolakan bahkan ancaman cegat di airport d aniaya pemain Israel. Kl terjadi sama pemain Brazil dll.gimana saking pengin Indonesia menang. Suporter kita pernah lho timpukin  pemain Malaysia.",smbc243
7,2023-03-27 23:45:51+00:00,1640500410392915968,"@Dennysiregar7 Ganjar menolak tim Israel itu berdasarkan amanat partainya.. Sbnarnya sya setuju klo pd u 20 diselenggarakan di Indonesia..tp apa boleh buat FiFA trlanjur memilih Peru..Y gigit jarilah &amp; skrg PKS tertawa sembari kentut.. 🤭
#FahamiMaslahnyaJanganBaper",putucangkiriku
8,2023-03-27 23:44:00+00:00,1640499944242167812,"@idextratime Official song sudah d hapus dari FIFA world cup Instagram , pertanda batal PD d Indonesia",yourheadkui
9,2023-03-27 23:43:46+00:00,1640499887111569408,"@Adi_8002 Bkn sok2an bela negara lain bung!!, Ini kan konsekwensi rakyat Indonesia melaksanakan UUD 45 apapun imbasnya ga masalah, justru FIFA yg tdk konsekwen, rusia yg baru setahun serang Ukraine ditolak ikut piala dunia, sementara Zionis Israel menjajah Palestine berpuluh thn😓",MochIdrus8
